NumberOfNodes;Fanout2;Fanout4;Fanout8;Fanout16
1;1;1;1;1
51;6;3;4;2
101;15;5;5;4
151;22;11;5;5
201;22;17;5;7
251;22;24;5;8
301;33;30;5;9
351;46;35;5;9
401;58;35;5;9
451;71;35;5;9
501;83;35;5;9
551;86;35;5;9
601;86;35;6;9
651;86;35;9;9
701;86;35;12;9
751;86;35;15;9
801;86;35;18;9
851;86;35;22;9
901;86;35;25;9
951;86;35;28;9
1001;086;35;34;9
1051;093;35;31;9
1101;105;35;37;9
1151;118;35;40;9
1201;130;35;43;9
1251;143;35;47;9
1301;155;35;50;9
1351;168;35;53;9
1401;180;39;56;9
1451;193;46;59;9
1501;205;52;62;9
1551;218;58;65;9
1601;230;64;68;9
1651;243;71;72;9
1701;255;77;75;9
1751;268;83;78;9
1801;280;89;81;9
1851;293;96;84;9
1901;305;102;87;9
1951;318;108;90;9
2001;330;114;93;9
2051;342;121;97;9
2101;342;127;100;9
2151;342;133;103;9
2201;342;139;106;9
2251;342;146;109;9
2301;342;152;112;9
2351;342;158;115;9
2401;342;164;118;9
2451;342;171;122;9
2501;342;177;125;9
2551;342;183;128;9
2601;342;189;131;9
2651;342;196;134;9
2701;342;202;137;9
2751;342;208;140;9
2801;342;214;143;9
2851;342;221;147;9
2901;342;227;150;9
2951;342;233;153;9
3001;342;239;156;9
3051;342;246;159;9
3101;342;252;162;9
3151;342;258;165;9
3201;342;264;168;9
3251;342;271;172;9
3301;342;277;175;9
3351;342;283;178;9
3401;342;289;181;9
3451;342;296;184;9
3501;342;302;187;9
3551;342;308;190;9
3601;342;314;193;9
3651;342;321;197;9
3701;342;327;200;9
3751;342;333;203;9
3801;342;339;206;9
3851;342;346;209;9
3901;342;352;212;9
3951;342;358;215;9
4001;342;364;218;9
4051;342;371;222;9
4101;343;377;225;9
4151;356;383;228;9
4201;368;389;231;9
4251;381;396;234;9
4301;393;402;237;9
4351;406;408;240;9
4401;418;414;243;10
4451;431;421;247;12
4501;443;427;250;13
4551;456;433;253;15
4601;468;439;256;16
4651;481;446;259;18
4701;493;452;261;19
4751;506;458;261;21
4801;518;464;261;22
4851;531;471;261;24
4901;543;477;261;26
4951;556;483;261;27
5001;568;489;261;29
5051;581;496;261;30
5101;593;502;261;32
5151;606;508;261;33
5201;618;514;261;35
5251;631;521;261;37
5301;643;527;261;38
5351;656;533;261;40
5401;668;539;261;41
5451;681;546;261;43
5501;693;547;261;44
5551;706;547;261;46
5601;718;547;261;47
5651;731;547;261;49
5701;743;547;261;51
5751;756;547;261;52
5801;768;547;261;54
5851;781;547;261;55
5901;793;547;261;57
5951;806;547;261;58
6001;818;547;261;60
6051;831;547;261;62
6101;843;547;261;63
6151;856;547;261;65
6201;868;547;261;66
6251;881;547;261;68
6301;893;547;261;69
6351;906;547;261;71
6401;918;547;261;72
6451;931;547;261;74
6501;943;547;261;76
6551;956;547;261;77
6601;968;547;261;79
6651;981;547;261;80
6701;993;547;261;82
6751;1006;547;261;83
6801;1018;547;261;85
6851;1031;547;261;87
6901;1043;547;261;88
6951;1056;547;261;90
7001;1068;547;261;91
7051;1081;547;261;93
7101;1093;547;261;94
7151;1106;547;261;96
7201;1118;547;261;97
7251;1131;547;261;99
7301;1143;547;261;101
7351;1156;547;261;102
7401;1168;547;261;104
7451;1181;547;261;105
7501;1193;547;261;107
7551;1206;547;261;108
7601;1218;547;261;110
7651;1231;547;261;112
7701;1243;547;261;113
7751;1256;547;261;115
7801;1268;547;261;116
7851;1281;547;261;118
7901;1293;547;261;119
7951;1306;547;261;121
8001;1318;547;261;122
8051;1331;547;261;124
8101;1343;547;261;126
8151;1356;547;261;127
8201;1366;547;261;129
8251;1366;547;261;130
8301;1366;547;261;132
8351;1366;547;261;133
8401;1366;547;261;135
8451;1366;547;261;137
8501;1366;547;261;138
8551;1366;547;261;140
8601;1366;547;261;141
8651;1366;547;261;143
8701;1366;547;261;144
8751;1366;547;261;146
8801;1366;547;261;147
8851;1366;547;261;149
8901;1366;547;261;151
8951;1366;547;261;152
9001;1366;547;261;154
9051;1366;547;261;155
9101;1366;547;261;157
9151;1366;547;261;158
9201;1366;547;261;160
9251;1366;547;261;162
9301;1366;547;261;163
9351;1366;547;261;165
9401;1366;547;261;166
9451;1366;547;261;168
9501;1366;547;261;169
9551;1366;547;261;171
9601;1366;547;261;172
9651;1366;547;261;174
9701;1366;547;261;176
9751;1366;547;261;177
9801;1366;547;261;179
9851;1366;547;261;180
9901;1366;547;261;182
9951;1366;547;261;183
10000;1366;547;261;183